"","intercept","marg.expectation","time","marg_target","c","distn"
"elapsed",-2.86817025410272,0.10522079,16.0630000000019,0.1,1,"binary_080"
"elapsed1",-3.39527489464334,0.11427218,15.9499999999971,0.1,1.5,"binary_080"
"elapsed2",-3.76926158883065,0.1233131,15.9969999999958,0.1,2,"binary_080"
"elapsed3",-4.05934820553913,0.13175289,15.9759999999951,0.1,2.5,"binary_080"
"elapsed4",-4.29636622937127,0.13953139,16.0179999999964,0.1,3,"binary_080"
"elapsed5",-2.94926327572436,0.11212762,14.7540000000008,0.1,1,"unif_n13"
"elapsed11",-3.5574609378866,0.14052336,14.8079999999973,0.1,1.5,"unif_n13"
"elapsed21",-3.98898404656427,0.16769725,14.8159999999989,0.1,2,"unif_n13"
"elapsed31",-4.32369937353559,0.19024275,14.778999999995,0.1,2.5,"unif_n13"
"elapsed41",-4.59718170872652,0.20855625,14.8539999999994,0.1,3,"unif_n13"
"elapsed6",-2.54379816761619,0.11014983,18.2160000000003,0.1,1,"norm_01"
"elapsed12",-2.74653072167027,0.13282039,18.2130000000034,0.1,1.5,"norm_01"
"elapsed22",-2.89037175789616,0.1542138,18.176999999996,0.1,2,"norm_01"
"elapsed32",-3.00194353355327,0.17210393,18.2550000000047,0.1,2.5,"norm_01"
"elapsed42",-3.09310431195025,0.18681974,18.2509999999966,0.1,3,"norm_01"
"elapsed7",-3.35472838383252,0.12677863,23.7309999999998,0.1,1,"gamma1_5"
"elapsed13",-4.36839115410293,0.16791736,23.7540000000008,0.1,1.5,"gamma1_5"
"elapsed23",-5.08759633523238,0.19250027,23.7479999999996,0.1,2,"gamma1_5"
"elapsed33",-5.64545521351791,0.20847074,23.609000000004,0.1,2.5,"gamma1_5"
"elapsed43",-6.10125910550279,0.21976426,23.6990000000005,0.1,3,"gamma1_5"
"elapsed8",-2.05724003788639,0.20689587,16.2109999999957,0.2,1,"binary_080"
"elapsed14",-2.58434467842701,0.218499,16.1440000000002,0.2,1.5,"binary_080"
"elapsed24",-2.95833137261432,0.22954299,16.2440000000061,0.2,2,"binary_080"
"elapsed34",-3.2484179893228,0.23937594,16.1339999999982,0.2,2.5,"binary_080"
"elapsed44",-3.48543601315494,0.24806538,16.2750000000015,0.2,3,"binary_080"
"elapsed51",-2.13833305950803,0.21536137,15.0740000000005,0.2,1,"unif_n13"
"elapsed111",-2.74653072167027,0.24647125,14.8419999999969,0.2,1.5,"unif_n13"
"elapsed211",-3.17805383034795,0.27199277,14.9709999999977,0.2,2,"unif_n13"
"elapsed311",-3.51276915731926,0.29122276,14.846000000005,0.2,2.5,"unif_n13"
"elapsed411",-3.78625149251019,0.30588288,14.9209999999948,0.2,3,"unif_n13"
"elapsed61",-1.73286795139986,0.21295089,18.5720000000001,0.2,1,"norm_01"
"elapsed121",-1.93560050545395,0.23792789,18.5559999999969,0.2,1.5,"norm_01"
"elapsed221",-2.07944154167984,0.25849935,18.3410000000003,0.2,2,"norm_01"
"elapsed321",-2.19101331733694,0.2743356,18.3569999999963,0.2,2.5,"norm_01"
"elapsed421",-2.28217409573392,0.28673054,18.5540000000037,0.2,3,"norm_01"
"elapsed71",-2.54379816761619,0.22534054,22.9360000000015,0.2,1,"gamma1_5"
"elapsed131",-3.5574609378866,0.25352771,22.721000000005,0.2,1.5,"gamma1_5"
"elapsed231",-4.27666611901606,0.26835236,22.7309999999998,0.2,2,"gamma1_5"
"elapsed331",-4.83452499730158,0.27759079,22.5470000000059,0.2,2.5,"gamma1_5"
"elapsed431",-5.29032888928647,0.28417193,22.788999999997,0.2,3,"gamma1_5"
"elapsed9",-1.51824353715371,0.30599333,15.6170000000056,0.3,1,"binary_080"
"elapsed15",-2.04534817769432,0.31599278,15.6419999999998,0.3,1.5,"binary_080"
"elapsed25",-2.41933487188164,0.32525552,15.5900000000038,0.3,2,"binary_080"
"elapsed35",-2.70942148859011,0.33321467,15.6529999999984,0.3,2.5,"binary_080"
"elapsed45",-2.94643951242225,0.34004193,15.6529999999984,0.3,3,"binary_080"
"elapsed52",-1.59933655877534,0.31299448,14.7960000000021,0.3,1,"unif_n13"
"elapsed112",-2.20753422093759,0.33716106,15.3999999999942,0.3,1.5,"unif_n13"
"elapsed212",-2.63905732961526,0.35553823,15.2380000000048,0.3,2,"unif_n13"
"elapsed312",-2.97377265658657,0.36883228,15.2419999999984,0.3,2.5,"unif_n13"
"elapsed412",-3.24725499177751,0.37875183,15.0040000000008,0.3,3,"unif_n13"
"elapsed62",-1.19387145066718,0.31099153,17.8640000000014,0.3,1,"norm_01"
"elapsed122",-1.39660400472126,0.33046952,17.8050000000003,0.3,1.5,"norm_01"
"elapsed222",-1.54044504094715,0.34553762,17.5619999999981,0.3,2,"norm_01"
"elapsed322",-1.65201681660425,0.35667228,17.7209999999977,0.3,2.5,"norm_01"
"elapsed422",-1.74317759500123,0.36520045,17.6100000000006,0.3,3,"norm_01"
"elapsed72",-2.0048016668835,0.31567494,22.890999999996,0.3,1,"gamma1_5"
"elapsed132",-3.01846443715392,0.32663368,22.8680000000022,0.3,1.5,"gamma1_5"
"elapsed232",-3.73766961828337,0.33107003,22.7139999999999,0.3,2,"gamma1_5"
"elapsed332",-4.29552849656889,0.33361377,22.5910000000003,0.3,2.5,"gamma1_5"
"elapsed432",-4.75133238855378,0.33556044,22.7180000000008,0.3,3,"gamma1_5"
"elapsed10",-1.07641078487467,0.40348787,15.8229999999967,0.4,1,"binary_080"
"elapsed16",-1.60351542541528,0.40940188,15.6859999999942,0.4,1.5,"binary_080"
"elapsed26",-1.9775021196026,0.41484416,15.5629999999946,0.4,2,"binary_080"
"elapsed36",-2.26758873631107,0.41940606,15.8830000000016,0.4,2.5,"binary_080"
"elapsed46",-2.50460676014321,0.42318896,15.512999999999,0.4,3,"binary_080"
"elapsed53",-1.1575038064963,0.40720342,14.5720000000001,0.4,1,"unif_n13"
"elapsed113",-1.76570146865855,0.42021937,14.3899999999994,0.4,1.5,"unif_n13"
"elapsed213",-2.19722457733622,0.4297343,14.4099999999962,0.4,2,"unif_n13"
"elapsed313",-2.53193990430753,0.43646809,14.5970000000016,0.4,2.5,"unif_n13"
