"","intercept","marginal.expectation","iterations","a","b","time","marg_target","c","distn"
"1",-2.9248046875,0.10005656,12,-2.9296875,-2.919921875,0.595999999990454,0.1,1,"binary_080"
"2",-3.548583984375,0.10010045,14,-3.5498046875,-3.54736328125,0.747000000003027,0.1,1.5,"binary_080"
"3",-4.01611328125,0.10013319,13,-4.0185546875,-4.013671875,0.562000000005355,0.1,2,"binary_080"
"4",-4.39208984375,0.10010887,13,-4.39453125,-4.3896484375,0.565999999991618,0.1,2.5,"binary_080"
"5",-4.70703125,0.10006306,10,-4.7265625,-4.6875,0.629000000000815,0.1,3,"binary_080"
"6",-3.0810546875,0.1000298,12,-3.0859375,-3.076171875,0.684999999997672,0.1,1,"unif_n13"
"7",-3.9892578125,0.1000509,12,-3.994140625,-3.984375,0.498000000006869,0.1,1.5,"unif_n13"
"8",-4.71435546875,0.10002964,13,-4.716796875,-4.7119140625,0.54299999999057,0.1,2,"unif_n13"
"9",-5.31005859375,0.10005139,13,-5.3125,-5.3076171875,0.545999999987544,0.1,2.5,"unif_n13"
"10",-5.8154296875,0.0999464,12,-5.8203125,-5.810546875,0.510000000009313,0.1,3,"unif_n13"
"11",-2.65380859375,0.10005376,13,-2.65625,-2.6513671875,0.589000000007218,0.1,1,"norm_01"
"12",-3.09814453125,0.10019079,13,-3.1005859375,-3.095703125,0.581000000005588,0.1,1.5,"norm_01"
"13",-3.4765625,0.10032784,9,-3.515625,-3.4375,0.423000000009779,0.1,2,"norm_01"
"14",-3.798828125,0.10028498,11,-3.80859375,-3.7890625,0.50899999999092,0.1,2.5,"norm_01"
"15",-4.07470703125,0.10031487,13,-4.0771484375,-4.072265625,0.586999999999534,0.1,3,"norm_01"
"16",-3.662109375,0.10018203,11,-3.671875,-3.65234375,0.563999999998487,0.1,1,"gamma1_5"
"17",-5.322265625,0.10001993,11,-5.33203125,-5.3125,0.564999999987776,0.1,1.5,"gamma1_5"
"18",-6.6015625,0.10018911,9,-6.640625,-6.5625,0.494000000006054,0.1,2,"gamma1_5"
"19",-7.6416015625,0.10008091,12,-7.646484375,-7.63671875,0.597999999998137,0.1,2.5,"gamma1_5"
