"","intercept","prevalence","prev_target","c","distn"
"1",-2.86817025410272,0.1057078,0.1,1,"binary_080"
"2",-3.39527489464334,0.1162697,0.1,1.5,"binary_080"
"3",-3.76926158883065,0.1275689,0.1,2,"binary_080"
"4",-4.05934820553913,0.1385563,0.1,2.5,"binary_080"
"5",-4.29636622937127,0.1489562,0.1,3,"binary_080"
"6",-2.94926327572436,0.1147358,0.1,1,"unif_n13"
"7",-3.5574609378866,0.1547694,0.1,1.5,"unif_n13"
"8",-3.98898404656427,0.1954116,0.1,2,"unif_n13"
"9",-4.32369937353559,0.2295159,0.1,2.5,"unif_n13"
"10",-4.59718170872652,0.2565601,0.1,3,"unif_n13"
"11",-2.54379816761619,0.112193,0.1,1,"norm_01"
"12",-2.74653072167027,0.1433433,0.1,1.5,"norm_01"
"13",-2.89037175789616,0.174135,0.1,2,"norm_01"
"14",-3.00194353355327,0.2002042,0.1,2.5,"norm_01"
"15",-3.09310431195025,0.2216319,0.1,3,"norm_01"
"16",-3.35472838383252,0.1316389,0.1,1,"gamma1_5"
"17",-4.36839115410293,0.1808729,0.1,1.5,"gamma1_5"
"18",-5.08759633523238,0.2099417,0.1,2,"gamma1_5"
"19",-5.64545521351791,0.2289154,0.1,2.5,"gamma1_5"
"20",-6.1012591055028,0.242306,0.1,3,"gamma1_5"
"21",-2.05724003788639,0.2074318,0.2,1,"binary_080"
"22",-2.58434467842701,0.2212009,0.2,1.5,"binary_080"
"23",-2.95833137261432,0.2354872,0.2,2,"binary_080"
"24",-3.2484179893228,0.2489007,0.2,2.5,"binary_080"
"25",-3.48543601315494,0.2612613,0.2,3,"binary_080"
"26",-2.13833305950803,0.2186612,0.2,1,"unif_n13"
"27",-2.74653072167027,0.2621346,0.2,1.5,"unif_n13"
"28",-3.17805383034795,0.2987461,0.2,2,"unif_n13"
"29",-3.51276915731926,0.3258263,0.2,2.5,"unif_n13"
"30",-3.78625149251019,0.3459593,0.2,3,"unif_n13"
"31",-1.73286795139986,0.2154379,0.2,1,"norm_01"
"32",-1.93560050545395,0.2490219,0.2,1.5,"norm_01"
"33",-2.07944154167984,0.2776243,0.2,2,"norm_01"
"34",-2.19101331733694,0.2999287,0.2,2.5,"norm_01"
"35",-2.28217409573392,0.3172595,0.2,3,"norm_01"
"36",-2.54379816761619,0.228738,0.2,1,"gamma1_5"
"37",-3.5574609378866,0.2606069,0.2,1.5,"gamma1_5"
"38",-4.27666611901606,0.277571,0.2,2,"gamma1_5"
"39",-4.83452499730158,0.2883991,0.2,2.5,"gamma1_5"
"40",-5.29032888928647,0.29614,0.2,3,"gamma1_5"
"41",-1.51824353715371,0.3064277,0.3,1,"binary_080"
"42",-2.04534817769432,0.3187021,0.3,1.5,"binary_080"
"43",-2.41933487188164,0.3311844,0.3,2,"binary_080"
"44",-2.70942148859011,0.3427606,0.3,2.5,"binary_080"
"45",-2.94643951242225,0.3533688,0.3,3,"binary_080"
"46",-1.59933655877534,0.3158023,0.3,1,"unif_n13"
"47",-2.20753422093759,0.3489624,0.3,1.5,"unif_n13"
"48",-2.63905732961526,0.3749017,0.3,2,"unif_n13"
"49",-2.97377265658657,0.3930413,0.3,2.5,"unif_n13"
"50",-3.24725499177751,0.4060794,0.3,3,"unif_n13"
"51",-1.19387145066718,0.3131112,0.3,1,"norm_01"
"52",-1.39660400472126,0.3391404,0.3,1.5,"norm_01"
"53",-1.54044504094715,0.3597678,0.3,2,"norm_01"
"54",-1.65201681660425,0.3750341,0.3,2.5,"norm_01"
"55",-1.74317759500123,0.3866767,0.3,3,"norm_01"
"56",-2.00480166688351,0.3167194,0.3,1,"gamma1_5"
"57",-3.01846443715392,0.3263292,0.3,1.5,"gamma1_5"
"58",-3.73766961828337,0.330534,0.3,2,"gamma1_5"
"59",-4.29552849656889,0.3333929,0.3,2.5,"gamma1_5"
"60",-4.75133238855378,0.3359229,0.3,3,"gamma1_5"
"61",-1.07641078487467,0.4036119,0.4,1,"binary_080"
"62",-1.60351542541528,0.4112379,0.4,1.5,"binary_080"
"63",-1.9775021196026,0.4195176,0.4,2,"binary_080"
"64",-2.26758873631107,0.427357,0.4,2.5,"binary_080"
"65",-2.50460676014321,0.4345603,0.4,3,"binary_080"
"66",-1.1575038064963,0.408889,0.4,1,"unif_n13"
"67",-1.76570146865855,0.4267246,0.4,1.5,"unif_n13"
"68",-2.19722457733622,0.4399194,0.4,2,"unif_n13"
"69",-2.53193990430753,0.4488047,0.4,2.5,"unif_n13"
"70",-2.80542223949847,0.4551727,0.4,3,"unif_n13"
"71",-0.752038698388137,0.4072428,0.4,1,"norm_01"
"72",-0.954771252442219,0.4211993,0.4,1.5,"norm_01"
"73",-1.09861228866811,0.4318015,0.4,2,"norm_01"
"74",-1.21018406432521,0.4395838,0.4,2.5,"norm_01"
"75",-1.30134484272219,0.4454575,0.4,3,"norm_01"
"76",-1.56296891460447,0.4009733,0.4,1,"gamma1_5"
"77",-2.57663168487488,0.3880612,0.4,1.5,"gamma1_5"
"78",-3.29583686600433,0.3791784,0.4,2,"gamma1_5"
"79",-3.85369574428985,0.3741881,0.4,2.5,"gamma1_5"
"80",-4.30949963627474,0.3712654,0.4,3,"gamma1_5"
"81",-0.670945676766504,0.5000976,0.5,1,"binary_080"
"82",-1.19805031730712,0.5015081,0.5,1.5,"binary_080"
"83",-1.57203701149443,0.504146,0.5,2,"binary_080"
"84",-1.86212362820291,0.5070427,0.5,2.5,"binary_080"
"85",-2.09914165203505,0.5101561,0.5,3,"binary_080"
"86",-0.752038698388137,0.5003871,0.5,1,"unif_n13"
"87",-1.36023636055038,0.50021,0.5,1.5,"unif_n13"
"88",-1.79175946922805,0.5001505,0.5,2,"unif_n13"
"89",-2.12647479619937,0.500152,0.5,2.5,"unif_n13"
"90",-2.3999571313903,0.5001987,0.5,3,"unif_n13"
"91",-0.346573590279973,0.4997874,0.5,1,"norm_01"
"92",-0.549306144334055,0.4998377,0.5,1.5,"norm_01"
"93",-0.693147180559945,0.4999142,0.5,2,"norm_01"
"94",-0.80471895621705,0.4999912,0.5,2.5,"norm_01"
"95",-0.895879734614027,0.4999881,0.5,3,"norm_01"
