"","intercept","prevalence","prev_target","c","distn"
"1",-2.9248046875,0.100070619373248,0.1,1,"binary_080"
"2",-3.5498046875,0.0999878287364424,0.1,1.5,"binary_080"
"3",-4.0185546875,0.0999316916419312,0.1,2,"binary_080"
"4",-4.39453125,0.0999157552014035,0.1,2.5,"binary_080"
"5",-4.70703125,0.100078167007795,0.1,3,"binary_080"
"6",-3.0810546875,0.100011953554194,0.1,1,"unif_n13"
"7",-3.9892578125,0.100012753798558,0.1,1.5,"unif_n13"
"8",-4.71435546875,0.0999925470922931,0.1,2,"unif_n13"
"9",-5.31005859375,0.100012914114523,0.1,2.5,"unif_n13"
"10",-5.8154296875,0.0999136008581579,0.1,3,"unif_n13"
"11",-2.655029296875,0.0999989628179998,0.1,1,"norm_01"
"12",-3.1005859375,0.100045553860943,0.1,1.5,"norm_01"
"13",-3.4814453125,0.100018301391276,0.1,2,"norm_01"
"14",-3.8037109375,0.0999929283246401,0.1,2.5,"norm_01"
"15",-4.07958984375,0.100042009252727,0.1,3,"norm_01"
"16",-3.66455078125,0.1000194171166,0.1,1,"gamma1_5"
"17",-5.322265625,0.10006904988668,0.1,1.5,"gamma1_5"
"18",-6.6064453125,0.100035398591206,0.1,2,"gamma1_5"
"19",-7.646484375,0.099940726095282,0.1,2.5,"gamma1_5"
"20",-8.515625,0.0999134346846098,0.1,3,"gamma1_5"
"21",-2.100830078125,0.199991998980225,0.2,1,"binary_080"
"22",-2.70263671875,0.200047099492704,0.2,1.5,"binary_080"
"23",-3.150634765625,0.200054986188489,0.2,2,"binary_080"
"24",-3.509521484375,0.199986588119484,0.2,2.5,"binary_080"
"25",-3.80859375,0.200037654211388,0.2,3,"binary_080"
"26",-2.236328125,0.200057740663272,0.2,1,"unif_n13"
"27",-3.06640625,0.199949749352309,0.2,1.5,"unif_n13"
"28",-3.7109375,0.20009993541944,0.2,2,"unif_n13"
"29",-4.23583984375,0.200029515707793,0.2,2.5,"unif_n13"
"30",-4.67529296875,0.200089974700113,0.2,3,"unif_n13"
"31",-1.815185546875,0.200031386556266,0.2,1,"norm_01"
"32",-2.1923828125,0.199995788057873,0.2,1.5,"norm_01"
"33",-2.501220703125,0.199954425025508,0.2,2,"norm_01"
"34",-2.75634765625,0.200030296416801,0.2,2.5,"norm_01"
"35",-2.9736328125,0.200014630001443,0.2,3,"norm_01"
"36",-2.720947265625,0.199995339684967,0.2,1,"gamma1_5"
"37",-4.031982421875,0.199979409649786,0.2,1.5,"gamma1_5"
"38",-4.9951171875,0.200060773243244,0.2,2,"gamma1_5"
"39",-5.75927734375,0.200055290973762,0.2,2.5,"gamma1_5"
"40",-6.39404296875,0.199988438153399,0.2,3,"gamma1_5"
"41",-1.5478515625,0.299953252364509,0.3,1,"binary_080"
"42",-2.12646484375,0.300024079544921,0.3,1.5,"binary_080"
"43",-2.552490234375,0.299989870229502,0.3,2,"binary_080"
"44",-2.890625,0.300008484609518,0.3,2.5,"binary_080"
"45",-3.17138671875,0.300080146034929,0.3,3,"binary_080"
"46",-1.6650390625,0.299918724689556,0.3,1,"unif_n13"
"47",-2.418212890625,0.300027316227105,0.3,1.5,"unif_n13"
"48",-2.99072265625,0.299914027971359,0.3,2,"unif_n13"
"49",-3.448486328125,0.300060944949654,0.3,2.5,"unif_n13"
"50",-3.831787109375,0.299956549958907,0.3,3,"unif_n13"
"51",-1.248779296875,0.299950792984485,0.3,1,"norm_01"
"52",-1.563720703125,0.30009597794898,0.3,1.5,"norm_01"
"53",-1.81396484375,0.299907565916399,0.3,2,"norm_01"
"54",-2.0166015625,0.299987690579897,0.3,2.5,"norm_01"
"55",-2.1875,0.29998583112904,0.3,3,"norm_01"
"56",-2.091064453125,0.299928958119235,0.3,1,"gamma1_5"
"57",-3.203125,0.300080560065164,0.3,1.5,"gamma1_5"
"58",-3.994140625,0.299928587369502,0.3,2,"gamma1_5"
"59",-4.609375,0.299985587361022,0.3,2.5,"gamma1_5"
"60",-5.11474609375,0.300029949544409,0.3,3,"gamma1_5"
"61",-1.09130859375,0.40002527638602,0.4,1,"binary_080"
"62",-1.6461181640625,0.400020108098066,0.4,1.5,"binary_080"
"63",-2.04833984375,0.400005373958671,0.4,2,"binary_080"
"64",-2.364501953125,0.400016323897404,0.4,2.5,"binary_080"
"65",-2.625732421875,0.399928446816474,0.4,3,"binary_080"
"66",-1.190185546875,0.399965342407049,0.4,1,"unif_n13"
"67",-1.8701171875,0.400059481389278,0.4,1.5,"unif_n13"
"68",-2.371826171875,0.399927737058094,0.4,2,"unif_n13"
"69",-2.767333984375,0.400042121312488,0.4,2.5,"unif_n13"
"70",-3.095703125,0.399940211148514,0.4,3,"unif_n13"
"71",-0.7794189453125,0.399980194006799,0.4,1,"norm_01"
"72",-1.03759765625,0.400037850063609,0.4,1.5,"norm_01"
"73",-1.23291015625,0.400046953391264,0.4,2,"norm_01"
"74",-1.38916015625,0.400041193806804,0.4,2.5,"norm_01"
"75",-1.519775390625,0.399938903950638,0.4,3,"norm_01"
"76",-1.5771484375,0.399932698983002,0.4,1,"gamma1_5"
"77",-2.55126953125,0.39995106541747,0.4,1.5,"gamma1_5"
"78",-3.22265625,0.400007403077006,0.4,2,"gamma1_5"
"79",-3.739013671875,0.399996008264727,0.4,2.5,"gamma1_5"
"80",-4.16015625,0.399916781624328,0.4,3,"gamma1_5"
"81",-0.67138671875,0.500009225188846,0.5,1,"binary_080"
"82",-1.201171875,0.500046244132292,0.5,1.5,"binary_080"
"83",-1.5789794921875,0.500027161380435,0.5,2,"binary_080"
"84",-1.87255859375,0.500031424196997,0.5,2.5,"binary_080"
"85",-2.113037109375,0.499923924763399,0.5,3,"binary_080"
"86",-0.751953125,0.500003245045362,0.5,1,"unif_n13"
"87",-1.35986328125,0.500049023543591,0.5,1.5,"unif_n13"
"88",-1.7919921875,0.499930485893457,0.5,2,"unif_n13"
"89",-2.12646484375,0.499969921482944,0.5,2.5,"unif_n13"
"90",-2.39990234375,0.499974220179159,0.5,3,"unif_n13"
"91",-0.3466796875,0.50001193749037,0.5,1,"norm_01"
"92",-0.54931640625,0.500064063892737,0.5,1.5,"norm_01"
"93",-0.693359375,0.50003999774382,0.5,2,"norm_01"
"94",-0.8056640625,0.499923427084478,0.5,2.5,"norm_01"
"95",-0.89599609375,0.500072415360601,0.5,3,"norm_01"
"96",-1.11083984375,0.499929890599876,0.5,1,"gamma1_5"
"97",-1.976318359375,0.499992978271613,0.5,1.5,"gamma1_5"
"98",-2.55859375,0.499940179068587,0.5,2,"gamma1_5"
"99",-3.00048828125,0.499917190979598,0.5,2.5,"gamma1_5"
"100",-3.35693359375,0.499991620524742,0.5,3,"gamma1_5"
"101",-0.25146484375,0.599967995427505,0.6,1,"binary_080"
"102",-0.755615234375,0.600073749234476,0.6,1.5,"binary_080"
"103",-1.1090087890625,0.599988879431932,0.6,2,"binary_080"
"104",-1.380615234375,0.599904755282091,0.6,2.5,"binary_080"
"105",-1.600341796875,0.599927503159456,0.6,3,"binary_080"
"106",-0.313720703125,0.60004081972693,0.6,1,"unif_n13"
"107",-0.849609375,0.600035135651065,0.6,1.5,"unif_n13"
"108",-1.212158203125,0.599937566456047,0.6,2,"unif_n13"
"109",-1.484375,0.60008692746717,0.6,2.5,"unif_n13"
"110",-1.7041015625,0.600011185466206,0.6,3,"unif_n13"
"111",0.08544921875,0.599905389126039,0.6,1,"norm_01"
"112",-0.06103515625,0.600086491123092,0.6,1.5,"norm_01"
"113",-0.15380859375,0.600031898781801,0.6,2,"norm_01"
"114",-0.220947265625,0.60001749345458,0.6,2.5,"norm_01"
"115",-0.2734375,0.600012849174516,0.6,3,"norm_01"
"116",-0.65185546875,0.599917163662356,0.6,1,"gamma1_5"
"117",-1.427001953125,0.599910924157357,0.6,1.5,"gamma1_5"
"118",-1.93359375,0.600092539574917,0.6,2,"gamma1_5"
"119",-2.314453125,0.600029655979351,0.6,2.5,"gamma1_5"
"120",-2.61962890625,0.600033356799428,0.6,3,"gamma1_5"
"121",0.205078125,0.699974334831179,0.7,1,"binary_080"
"122",-0.2734375,0.700033609983118,0.7,1.5,"binary_080"
"123",-0.601806640625,0.699929537984012,0.7,2,"binary_080"
"124",-0.849609375,0.700082516631937,0.7,2.5,"binary_080"
"125",-1.0498046875,0.700056677655474,0.7,3,"binary_080"
"126",0.1611328125,0.700086491638852,0.7,1,"unif_n13"
"127",-0.301513671875,0.700056782476111,0.7,1.5,"unif_n13"
"128",-0.59326171875,0.699964258815429,0.7,2,"unif_n13"
"129",-0.80322265625,0.700057426913258,0.7,2.5,"unif_n13"
"130",-0.968017578125,0.700001570547422,0.7,3,"unif_n13"
"131",0.555419921875,0.70006986799529,0.7,1,"norm_01"
"132",0.465087890625,0.700016421572992,0.7,1.5,"norm_01"
"133",0.426025390625,0.699969400203427,0.7,2,"norm_01"
"134",0.406494140625,0.700070943431554,0.7,2.5,"norm_01"
